"Tech Stacks","Portfolio URL"
"Cloud Computing, AWS, Terraform","https://cassanellicarlo.com"
"Cloud Engineering, GCP, Kubernetes","https://biztechcollege.com/biztalk/cloud-engineer-portfolio/"
"DevOps, CI/CD, Docker","https://djomegni.com"
"Cloud Architecture, Azure, Microservices","https://example.com/cloud-architect-portfolio"
"Frontend Development, React, Redux","https://example.com/react-developer-portfolio"
"Backend Development, Node.js, Express","https://example.com/nodejs-developer-portfolio"
"Full Stack Development, MERN Stack","https://example.com/fullstack-developer-portfolio"
"Data Engineering, Python, Apache Spark","https://example.com/data-engineer-portfolio"
"Mobile Development, Flutter","https://example.com/flutter-developer-portfolio"
"Cybersecurity, Penetration Testing","https://example.com/cybersecurity-portfolio"
"Game Development, Unity, C","https://example.com/game-developer-portfolio"
"UI/UX Design, Figma","https://example.com/uiux-designer-portfolio"
"Machine Learning, TensorFlow","https://example.com/machine-learning-portfolio"
"Blockchain Development, Ethereum","https://example.com/blockchain-developer-portfolio"
"Network Engineering, Cisco","https://example.com/network-engineer-portfolio"
"QA Engineering, Selenium","https://example.com/qa-engineer-portfolio"
"Business Analysis, SQL","https://example.com/business-analyst-portfolio"
"Technical Writing, Documentation","https://example.com/technical-writer-portfolio"
"Product Management, Agile","https://example.com/product-manager-portfolio"
"Systems Administration, Linux","https://example.com/systems-admin-portfolio"
